,0_names,0_scores,0_pvals,0_pvals_adj,0_logfoldchanges,1_names,1_scores,1_pvals,1_pvals_adj,1_logfoldchanges,2_names,2_scores,2_pvals,2_pvals_adj,2_logfoldchanges,3_names,3_scores,3_pvals,3_pvals_adj,3_logfoldchanges
0,HBA2,5.0280013,4.956183422788175e-07,0.005699610936206401,0.42263848,FZD3,5.5479727,2.890011482752183e-08,0.00018805143307558606,2.573905,GDPD5,3.9245212,8.690240258108822e-05,0.2902417286003764,4.3574405,MALAT1,5.713498,1.1067713231950228e-08,0.00012727870216742762,2.9844327
1,HBA1,4.815497,1.4683385306883333e-06,0.008442946551457916,0.40533912,ARL4A,5.454695,4.905689558493549e-08,0.00018805143307558606,3.028514,SLC22A13,3.8813155,0.00010389296655547384,0.2902417286003764,4.4278846,FOSB,4.906387,9.276948260834965e-07,0.005334245249980105,4.1409326
2,HBB,3.9503014,7.805282386271811e-05,0.1313884978278712,0.3050806,ING3,5.284363,1.261430491990743e-07,0.0003032617692301815,2.7764983,C17orf68,3.794904,0.0001477005968806612,0.2902417286003764,3.469609,PTMA,4.513451,6.378116831898333e-06,0.02444944785561028,2.3573687
3,RAB12,3.7074394,0.00020936541336704755,0.2036686388043406,0.14000878,ZBTB41,5.276252,1.3185294314355717e-07,0.0003032617692301815,2.6470833,RPS6KA2,3.6796887,0.00023351884545687077,0.2902417286003764,2.106096,MTRNR2L8,4.258574,2.057352648621463e-05,0.05453956801992677,1.0728104
4,MTRNR2L8,3.4418092,0.0005778375848272185,0.2832870755105522,0.9033678,MON2,5.1586413,2.487484891674787e-07,0.00038155189510267947,1.5678154,CSPG4,3.6796887,0.00023351884545687077,0.2902417286003764,3.5578718,MTRNR2L2,4.226714,2.371285566083773e-05,0.05453956801992677,1.2350595
5,NOMO3,3.1192582,0.001813070005699759,0.32222461044360257,1.5334116,IPO11,5.1464744,2.654274052888205e-07,0.00038155189510267947,2.3111188,LOC440297,3.6652868,0.00024706157406465055,0.2902417286003764,2.358268,FOS,4.173615,2.998045391268105e-05,0.057462536665972015,3.030694
6,NOMO1,2.7663493,0.005668775602410197,0.3540667650543572,1.0456681,SNX13,5.1464744,2.654274052888205e-07,0.00038155189510267947,2.1370416,KIAA0467,3.5356696,0.0004067431098875416,0.2902417286003764,3.4718006,NFKBIA,4.062106,4.863199091015671e-05,0.0798954136381146,4.1071534
7,MTRNR2L1,2.6525078,0.007989626027638946,0.38511146103321797,0.84559876,EXOC5,5.1140304,3.1535673620905e-07,0.00040295582960045277,2.2836354,FAM125B,3.5212677,0.00042948886479576305,0.2902417286003764,3.9835253,MTRNR2L9,3.9612172,7.456870645213946e-05,0.10719251552495046,2.9840312
8,REXO1L1,2.5424612,0.011007486293820664,0.4109938064251222,0.8727773,BNC2,5.093753,3.510447525547708e-07,0.00040370146543798645,2.7095823,MDN1,3.5068657,0.0004534178535708584,0.2902417286003764,0.9421475,PTMS,3.876258,0.00010607521607287651,0.12357049994312906,3.9969733
9,MTRNR2L2,2.5083086,0.012131066675320447,0.4139681506414989,0.5246438,PTPRJ,4.9315314,8.158753205065017e-07,0.0007747347499570372,2.3312101,MEI1,3.4924638,0.0004785864072338025,0.2902417286003764,2.8572655,TMSB10,3.8550181,0.00011572101431334711,0.12357049994312906,4.1137705
10,KIAA1267,2.3982618,0.016473087468225796,0.4666022312428489,0.744426,CNOT7,4.9193645,8.682560723651101e-07,0.0007747347499570372,2.7419097,RTN2,3.4924638,0.0004785864072338025,0.2902417286003764,4.5499415,HSP90AA1,3.8443983,0.0001208485756139173,0.12357049994312906,1.9823406
11,CCDC142,2.0946844,0.03619906193023118,0.5521505022075966,2.1018655,HOXA13,4.907198,9.238675953841971e-07,0.0007747347499570372,2.9768188,NAT9,3.46366,0.0005328795723317786,0.2902417286003764,4.8108006,RPLP1,3.8284686,0.000128943130375439,0.12357049994312906,3.1057673
12,TDO2,2.0377636,0.041573582947631776,0.5637926932756667,1.5888636,AP4E1,4.9031425,9.431553477737843e-07,0.0007747347499570372,2.4138377,HNF1B,3.456459,0.0005473223649947724,0.2902417286003764,4.7107763,ANP32B,3.8019187,0.0001435797949674665,0.12701289554814343,2.9421246
13,LRSAM1,1.9846375,0.04718481468331033,0.5815920352176515,1.5396824,LCORL,4.8747535,1.0894429163370466e-06,0.0008352395691917357,1.7288777,GTF3C1,3.4348562,0.0005928683861037905,0.2902417286003764,2.6769042,SYNE2,3.7381995,0.00018534286724947028,0.15224592666920775,0.9763795
14,HBS1L,1.9466903,0.05157187033312571,0.583736721290301,0.36094487,GCA,4.8341985,1.3368324478264508e-06,0.0009608483218752614,2.5079894,NUP85,3.4204543,0.000625166462655261,0.2902417286003764,3.3474069,CALD1,3.6373105,0.0002754996671600883,0.211216411489401,2.3160975
15,S1PR2,1.9391009,0.05248905255625011,0.5843408561441203,1.465491,RWDD4,4.777421,1.775579029594843e-06,0.001201126990608276,2.2900963,INPP5B,3.4204543,0.000625166462655261,0.2902417286003764,3.373556,EIF5,3.5895212,0.0003312860294635809,0.22957231462495842,2.5273356
16,ABCF1,1.8404382,0.06570392416721642,0.6253484348387744,1.6269244,FER,4.7368655,2.170491139921047e-06,0.0013867026727273355,2.022986,RECQL5,3.4060524,0.000659095388193856,0.2902417286003764,2.6667194,AHNAK,3.5789013,0.0003450418630759355,0.22957231462495842,2.6397135
17,HERC2,1.8328488,0.06682505956519959,0.6253484348387744,-0.16628896,MYEF2,4.704421,2.5458715561150074e-06,0.0015409222576485571,2.164381,INTS3,3.3772485,0.0007321486524142427,0.2902417286003764,3.0430121,HSP90AB1,3.5682814,0.0003593305794129784,0.22957231462495842,1.9888827
18,ITPR1,1.7341862,0.08288506275560777,0.6472000365135179,0.097940326,ZBBX,4.671977,2.9831447471290007e-06,0.0017153082295991754,2.874967,WDR62,3.3628466,0.0007714321349667172,0.2902417286003764,3.381287,EEF1G,3.5523515,0.00038180446964652633,0.23109217899658172,4.4409723
19,FAM18A,1.7228019,0.08492434095911526,0.6472000365135179,2.1958492,VPS13A,4.6598105,3.1650090247398e-06,0.0017332192278337,0.48955616,C6orf106,3.3556457,0.0007917994759162384,0.2902417286003764,4.0406094,RPL36,3.499252,0.00046656528215232717,0.2555000354643696,3.986064
20,NOMO2,1.7228019,0.08492434095911526,0.6472000365135179,0.8275351,LRBA,4.6233106,3.776637517156636e-06,0.001878393949080003,1.0287609,LOC126536,3.3484447,0.0008126649625688671,0.2902417286003764,3.5592613,RPS18,3.499252,0.00046656528215232717,0.2555000354643696,3.7195067
21,CYP2B7P1,1.7114178,0.08700400914448422,0.6472000365135179,1.6542704,FCRL4,4.6233106,3.776637517156636e-06,0.001878393949080003,2.8327768,PGC,3.3340428,0.0008559348910053368,0.2902417286003764,3.6993976,RPL8,3.4514625,0.0005575570523591144,0.2667494849769682,4.222917
22,TUBD1,1.6848547,0.09201658943551135,0.6592332024904679,0.7118188,KLHL31,4.6070886,4.083465106695659e-06,0.001878393949080003,2.3093448,ACACB,3.3340428,0.0008559348910053368,0.2902417286003764,1.5342989,VIM,3.4408426,0.0005799055519802516,0.2667494849769682,3.115525
